_id,cost,charging_points,pay_at_location,membership_required,access_key_required,is_operational,latitude,longitude,operator,connection_type,current_type,charging_points_flag,location.type,location.coordinates[0],location.coordinates[1]
674f97ff3dc8e5d2ac008479,Unknown,2,Unknown,Unknown,Unknown,Unknown,-33.9887792,150.8593146,BP Pulse,Unknown,Unknown,0,Point,150.8593146,-33.9887792
674f97ff3dc8e5d2ac00842d,Unknown,1,Unknown,Unknown,Unknown,Unknown,-33.9815934,151.0815506,Jolt,Unknown,Unknown,0,Point,151.0815506,-33.9815934
674f98013dc8e5d2ac0089b1,Free,1,Unknown,Unknown,Unknown,true,-33.979816,115.763459,Chargestar (AU),CHAdeMO,DC,0,Point,115.763459,-33.979816
674f97ff3dc8e5d2ac0083a5,Unknown,1,Unknown,Unknown,Unknown,Unknown,-33.9791934,115.7649217,Unknown,Unknown,Unknown,1,Point,115.7649217,-33.9791934
674f97ff3dc8e5d2ac008351,Unknown,1,Unknown,Unknown,Unknown,Unknown,-33.9760165,150.8118548,Unknown,Unknown,Unknown,1,Point,150.8118548,-33.9760165
674f97ff3dc8e5d2ac00866a,Free - $0.42/kWh,8,false,true,true,true,-33.97374,151.236646,Chargefox,CCS (Type 2),DC,0,Point,151.236646,-33.97374
674f97ff3dc8e5d2ac008413,Unknown,1,Unknown,Unknown,Unknown,Unknown,-33.9701906,151.0801412,Jolt,Unknown,Unknown,0,Point,151.0801412,-33.9701906
674f97ff3dc8e5d2ac00841e,Unknown,1,Unknown,Unknown,Unknown,Unknown,-33.9678598,151.1060452,Jolt,Unknown,Unknown,0,Point,151.1060452,-33.9678598
674f98013dc8e5d2ac0088f1,Free,1,Unknown,true,Unknown,true,-33.96493621,151,EO Charging,Type 2 (Socket Only),AC (Three-Phase),0,Point,151,-33.96493621
674f97ff3dc8e5d2ac00850d,Unknown,1,Unknown,Unknown,Unknown,Unknown,-33.9645764,137.7149576,Chargefox,CHAdeMO,Unknown,1,Point,137.7149576,-33.9645764
674f97ff3dc8e5d2ac0083f8,Unknown,1,Unknown,Unknown,Unknown,Unknown,-33.9621828,151.063567,Jolt,Unknown,Unknown,0,Point,151.063567,-33.9621828
674f97ff3dc8e5d2ac00860a,Free,6,false,true,true,true,-33.96150813,150.8057031,Chargefox,Type 2 (Socket Only),AC (Single-Phase),0,Point,150.8057031,-33.96150813
674f98013dc8e5d2ac008791,0.4,2,true,false,false,true,-33.961219,151.065897,Jolt,CCS (Type 2),DC,0,Point,151.065897,-33.961219
674f97ff3dc8e5d2ac008474,Unknown,1,Unknown,Unknown,Unknown,Unknown,-33.9610334,151.2309416,Jolt,Unknown,Unknown,1,Point,151.2309416,-33.9610334
674f98013dc8e5d2ac008931,$0.45/kWh,1,false,true,true,true,-33.95931272,116.1382693,Chargestar (AU),CCS (Type 2),DC,0,Point,116.1382693,-33.95931272
674f97ff3dc8e5d2ac0084f2,Unknown,1,Unknown,Unknown,Unknown,Unknown,-33.9579982,150.8865473,Jolt,CHAdeMO,Unknown,1,Point,150.8865473,-33.9579982
674f97ff3dc8e5d2ac00846a,Unknown,1,Unknown,Unknown,Unknown,Unknown,-33.9563337,151.2265681,Jolt,Unknown,Unknown,0,Point,151.2265681,-33.9563337
