Suburb,Population,suburb_key,Dwellings,Income,Vehicles_per_Dwelling,Station_Count,Public_Chargers,Total_Points,latitude,longitude,Charger_to_Pop_Ratio,Stations_to_Pop_Ratio
Newport,19943,newport,5459.0,2607.0,2.1,0,0,0.0,,,0.0,0.0
Niddrie - Essendon West,7925,niddrie essendon west,3095.0,2239.0,1.8,0,0,0.0,,,0.0,0.0
Noble Park (East),13699,noble park east,5408.0,1359.0,1.6,0,0,0.0,,,0.0,0.0
Noble Park North,7651,noble park north,2874.0,1453.0,1.8,0,0,0.0,,,0.0,0.0
Noble Park (West),20330,noble park west,7179.0,1399.0,1.7,0,0,0.0,,,0.0,0.0
Northcote (East),15920,northcote east,6855.0,2251.0,1.4,0,0,0.0,,,0.0,0.0
Northcote (West),10953,northcote west,4847.0,2318.0,1.3,0,0,0.0,,,0.0,0.0
North Melbourne,19221,north melbourne,9297.0,1718.0,0.9,0,0,0.0,,,0.0,0.0
Nunawading,13230,nunawading,5080.0,1938.0,1.7,0,0,0.0,,,0.0,0.0
Oakleigh - Huntingdale,25104,oakleigh huntingdale,9743.0,1956.0,1.7,0,0,0.0,,,0.0,0.0
Oak Park,8488,oak park,3451.0,2204.0,1.6,1,1,3.0,-37.7180181,144.9215041,0.000117813383600377,0.000117813383600377
Ormond - Glen Huntly,14736,ormond glen huntly,6329.0,1978.0,1.4,0,0,0.0,,,0.0,0.0
Pakenham (North East),16379,pakenham north east,5916.0,1651.0,2.0,0,0,0.0,,,0.0,0.0
Pakenham (North West),9658,pakenham north west,2676.0,1887.0,2.0,0,0,0.0,,,0.0,0.0
Pakenham (South East),6706,pakenham south east,2937.0,1235.0,1.7,0,0,0.0,,,0.0,0.0
Pakenham (South West),28217,pakenham south west,9281.0,1803.0,2.0,0,0,0.0,,,0.0,0.0
Parkville,8293,parkville,2823.0,1885.0,1.2,0,0,0.0,,,0.0,0.0
Pascoe Vale,18434,pascoe vale,34133.0,1947.0,1.6,0,0,0.0,,,0.0,0.0
Pascoe Vale South,10869,pascoe vale south,4132.0,2245.0,1.8,0,0,0.0,,,0.0,0.0
Pearcedale - Tooradin,8253,pearcedale tooradin,2999.0,1895.0,2.6,0,0,0.0,,,0.0,0.0
Plenty - Yarrambat,9609,plenty yarrambat,3215.0,2554.0,2.6,0,0,0.0,,,0.0,0.0
