Charger ID,Charger Name,Address,Suburb,State,Postal Code,Power (kW),Usage Cost,Number of Points,Connection Types,latitude,longitude,Normalized Name,reliability_score
MEL147,Kyneton,1 Hutton Street,kyneton,Victoria,3444,"50, 50",Payment Required $0.40 per kWh parking overstay charges may apply.,1,"33, 2",-37.718862,145.0231115,kyneton,
MEL148,Evie Meredith,12 Wallace St,meredith,VIC,3333,"50, 50",$0.45 per kWh,1,"33, 2",-37.7657176,145.1589446,evie meredith,
MEL149,Yea Supercharger,10 High St,yea,Victoria,3717,135,$0.78/kWh,4,33,-37.4927455,145.1572676,yea supercharger,
MEL150,Penguin Parade Car Park,995 Ventor Rd,summerlands,VIC,3922,"50, 50",AUD 0.37 per kWh,1,"33, 2",,,penguin parade car park,
MEL151,RACV Torquay Resort,1 Great Ocean Road,jan juc,Victoria,3223,"50, 50, 350, 350, 350, 350, 50, 50","Payment Required, Discount for NRMA/RACV members",7,"33, 2, 33, 2, 33, 2, 33, 2",,,racv torquay resort,
MEL152,Newling Reserve,Newling Drive,,Victoria,3240,7,,1,25,-37.8688729,145.2126338,newling reserve,
MEL153,Wine by Sam,69 Anzac Ave,seymour,Vic,3660,"25, 25",AUD 0.40 per kWh,1,"33, 2",-38.0021533,145.0974829,wine by sam,
MEL154,Daylesford Town Hall,76 Vincent St,daylesford, VIC,3460,"25, 25",Payment Required $0.35 per kWh (at all times),1,"33, 2",-37.627671,145.0254821,daylesford town hall,
MEL155,Hepburn Springs Bathhouse,1 Mineral Springs Reserve Road,hepburn springs,Victoria,3461,"50, 50",$0.45 per kWh,2,"33, 2",-37.7481414,144.739508,hepburn springs bathhouse,
MEL156,Shell Coles Express Warrenheip,9395 Western Highway,warrenheip,VIC ,3352,"350, 350",$0.60 per kWh. Parking overstay charges may apply,2,"2, 33",,,shell coles express warrenheip,
MEL157,Evie Warrigul,Queen Street,warragul,Victoria,3820,"50, 50",,1,"33, 2",-37.6694522,144.9350241,evie warrigul,
MEL158,Evie Alexandra,8 - 10 Webster Street,alexandra,Victoria,3714,"50, 50",$0.45 per kWh,1,"33, 2",-37.8212422,144.9736634,evie alexandra,
MEL159,Dindi Naturals,6572 Maroondah Highway,yarck,Victoria,3719,7,Free,1,25,-37.5772947,144.7161349,dindi naturals,
MEL160,Ampol Foodary,Princes Highway,winchelsea,Victoria,,"180, 100",$0.60/kWh for pay-as-you-go charging.,1,"33, 2",,,ampol foodary,
MEL161,RACV Ballarat,Davies Street,ballarat,Victoria,3350,350,,4,33,-37.8050281,144.9457629,racv ballarat,
